"engine.time","membrane.V"
 0.00000000000000000e+00,-8.79392260604116558e+01
 2.63236671414828738e+00,-8.79394656742346257e+01
 6.74332755422609331e+00,-8.79398308841963825e+01
 1.40489202551648713e+01,-8.79404547089405213e+01
 2.13545129561036475e+01,-8.79410549442136755e+01
 4.15116143684315801e+01,-8.79426005511425899e+01
 6.16687157807595128e+01,-8.79440076404623312e+01
 8.18258171930874454e+01,-8.79452782421769541e+01
 1.00000000000000000e+02,-8.79463247121247349e+01
 1.00001338523874182e+02,-8.78392741198904332e+01
 1.00002677047748364e+02,-8.77322543495100291e+01
 1.00005700766668653e+02,-8.74905997418764230e+01
 1.00008724485588942e+02,-8.72490786558357883e+01
 1.00011748204509232e+02,-8.70076982654400695e+01
 1.00017856885627012e+02,-8.65204683669030743e+01
 1.00023965566744792e+02,-8.60337751728892499e+01
 1.00034560222266265e+02,-8.51908419187012953e+01
 1.00045154877787738e+02,-8.43492507259112472e+01
 1.00055749533309211e+02,-8.35088270668623807e+01
 1.00066344188830683e+02,-8.26694005352353258e+01
 1.00076938844352156e+02,-8.18308136425071950e+01
 1.00087533499873629e+02,-8.09929224666911409e+01
 1.00098128155395102e+02,-8.01555954650379476e+01
 1.00116804527807972e+02,-7.86805711891321664e+01
 1.00135480900220841e+02,-7.72063644378406906e+01
 1.00154157272633711e+02,-7.57324896527518376e+01
 1.00172833645046580e+02,-7.42585560204802988e+01
 1.00191510017459450e+02,-7.27842562960551334e+01
 1.00221283824567593e+02,-7.04326274947171243e+01
 1.00251057631675735e+02,-6.80788184077965326e+01
 1.00280831438783878e+02,-6.57224119147948329e+01
 1.00310605245892020e+02,-6.33631656265963628e+01
 1.00340379053000163e+02,-6.10008622972966137e+01
 1.00370152860108306e+02,-5.86351431064351445e+01
 1.00399926667216448e+02,-5.62653025047488100e+01
 1.00429700474324591e+02,-5.38899599416171711e+01
 1.00459474281432733e+02,-5.15064846940256942e+01
 1.00489248088540876e+02,-4.91099873823416431e+01
 1.00500000000000000e+02,-4.82397696319091978e+01
 1.00503403255507052e+02,-4.82358005147247724e+01
 1.00506806511014105e+02,-4.82314781111127715e+01
 1.00513955831963415e+02,-4.82213092219696406e+01
 1.00521105152912725e+02,-4.82096208554424237e+01
 1.00528254473862035e+02,-4.81962060663755025e+01
 1.00543537352349247e+02,-4.81609768759623691e+01
 1.00567459656941296e+02,-4.80860040133874165e+01
 1.00591381961533344e+02,-4.79844906666020563e+01
 1.00615304266125392e+02,-4.78536567737352101e+01
 1.00639226570717440e+02,-4.76907364404629277e+01
 1.00663148875309489e+02,-4.74931092123051357e+01
 1.00706473853579482e+02,-4.70378301410118098e+01
 1.00749798831849475e+02,-4.64451182761567338e+01
 1.00793123810119468e+02,-4.56978879114088841e+01
 1.00836448788389461e+02,-4.47730293084141451e+01
 1.00879773766659454e+02,-4.36397386743617872e+01
 1.00923098744929447e+02,-4.22548165457073566e+01
 1.00966423723199441e+02,-4.05554137096421741e+01
 1.01009748701469434e+02,-3.84478472630234691e+01
 1.01053073679739427e+02,-3.57899605050974827e+01
 1.01096398658009420e+02,-3.23640900477997064e+01
 1.01121674222471555e+02,-2.98922448009193431e+01
 1.01146949786933689e+02,-2.69664351328955085e+01
 1.01172225351395824e+02,-2.34872047249401739e+01
 1.01185278923572255e+02,-2.14417456868821468e+01
 1.01198332495748687e+02,-1.92100430901685897e+01
 1.01211386067925119e+02,-1.67820176086980091e+01
 1.01218936977338956e+02,-1.52855443242744133e+01
 1.01226487886752793e+02,-1.37219781808000096e+01
 1.01234038796166629e+02,-1.20926111935217158e+01
 1.01241589705580466e+02,-1.03999489218407319e+01
 1.01249140614994303e+02,-8.64787169904875519e+00
 1.01256691524408140e+02,-6.84179389521221548e+00
 1.01264242433821977e+02,-4.98878517516674425e+00
 1.01271793343235814e+02,-3.09764199330956957e+00
 1.01279344252649651e+02,-1.17889004555240362e+00
 1.01286895162063487e+02, 7.55302258879367305e-01
 1.01294446071477324e+02, 2.69131553850805760e+00
 1.01301996980891161e+02, 4.61438684120002129e+00
